Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Jammu & Kashmir and Ladakh,2019,All ages,Both,Road injuries,Deaths,2959.081536,1552.396123,3808.874025
Arunachal Pradesh,2019,All ages,Both,Road injuries,Deaths,156.4537669,114.1958603,213.6028816
Uttarakhand,2019,All ages,Both,Road injuries,Deaths,3318.790961,1955.593956,4213.520814
Himachal Pradesh,2019,All ages,Both,Road injuries,Deaths,1294.318934,939.4638275,1616.384576
Other Union Territories,2019,All ages,Both,Road injuries,Deaths,480.9653817,344.978084,640.3695974
Andhra Pradesh,2019,All ages,Both,Road injuries,Deaths,7636.09961,5542.093579,9857.850297
Assam,2019,All ages,Both,Road injuries,Deaths,4489.987384,3633.069581,5800.840183
Delhi,2019,All ages,Both,Road injuries,Deaths,2221.081911,1585.398534,2730.565976
Goa,2019,All ages,Both,Road injuries,Deaths,175.2112435,122.3362467,234.0661491
Haryana,2019,All ages,Both,Road injuries,Deaths,5142.872801,3598.052621,6232.931044
Karnataka,2019,All ages,Both,Road injuries,Deaths,10904.91673,8344.492641,13330.57947
Kerala,2019,All ages,Both,Road injuries,Deaths,4655.509033,3053.102458,5782.255212
Maharashtra,2019,All ages,Both,Road injuries,Deaths,17070.37295,12803.10158,21067.61743
Manipur,2019,All ages,Both,Road injuries,Deaths,578.0062788,401.5022457,767.6349456
Meghalaya,2019,All ages,Both,Road injuries,Deaths,239.5415054,177.7284002,355.6216367
Mizoram,2019,All ages,Both,Road injuries,Deaths,149.1033322,96.35254097,209.2070189
Nagaland,2019,All ages,Both,Road injuries,Deaths,194.1385585,145.6636477,257.3146292
Odisha,2019,All ages,Both,Road injuries,Deaths,6390.346228,5042.156179,7954.127321
Punjab,2019,All ages,Both,Road injuries,Deaths,7418.154855,4570.112997,9427.648112
Rajasthan,2019,All ages,Both,Road injuries,Deaths,15499.9939,10902.41084,19116.02094
Sikkim,2019,All ages,Both,Road injuries,Deaths,64.56001662,48.05633229,86.24021438
Tamil Nadu,2019,All ages,Both,Road injuries,Deaths,15686.5381,10689.54698,19356.22416
Tripura,2019,All ages,Both,Road injuries,Deaths,434.6687692,324.2250308,579.1117007
West Bengal,2019,All ages,Both,Road injuries,Deaths,9941.998752,7618.872166,11920.68957
Bihar,2019,All ages,Both,Road injuries,Deaths,11849.12158,9073.881935,14945.93327
Chhattisgarh,2019,All ages,Both,Road injuries,Deaths,4900.914338,3919.879098,6079.647137
Jharkhand,2019,All ages,Both,Road injuries,Deaths,3796.845204,2976.430586,4832.040968
Madhya Pradesh,2019,All ages,Both,Road injuries,Deaths,13883.70004,10413.76138,17113.45107
Uttar Pradesh,2019,All ages,Both,Road injuries,Deaths,44628.06227,30483.29982,54882.14499
Gujarat,2019,All ages,Both,Road injuries,Deaths,10511.58204,8511.082369,12636.58473
Telangana,2019,All ages,Both,Road injuries,Deaths,5302.07199,3773.59507,6995.265606
